Date,Open,High,Low,Close,Volume,OpenInt
20150430,23.4,23.89,18,18.87,7157600,0
20150501,18.79,20.47,18.53,18.53,511400,0
20150504,18.6,20.82,18.6,20.81,432400,0
20150505,20.5,21.17,20.16,20.82,213900,0
20150506,20.95,21.85,20.5,21.37,243543,0
20150507,21.4,22.68,21.34,22.5,303805,0
20150508,22.78,24.44,22.25,23.6,270300,0
20150511,23.73,26.8,23.54,24.95,315200,0
20150512,25.21,25.62,23.46,25.04,207172,0
20150513,24.99,26.78,24.43,26.09,296700,0
20150514,27.35,30.73,26.01,29.02,944900,0
20150515,29,30,28.06,28.56,435515,0
20150518,28.78,29.39,28.01,28.74,177992,0
20150519,29.02,29.75,28.54,29,178800,0
20150520,28.67,29.42,28.67,29.07,114600,0
20150521,28.75,30.62,28.71,29.19,215200,0
20150522,29.68,30.72,29.2,29.96,278700,0
20150526,31.03,32.814,28,28.64,691894,0
20150527,28.28,28.5,26.18,27.34,286400,0
20150528,26.96,29.26,26.9,28.55,155235,0
20150529,28.55,29.88,28.37,28.69,208600,0
20150601,29.18,31.49,28.65,30.77,288900,0
20150602,31.26,31.735,30.03,30.41,179557,0
20150603,30.72,31.77,30.56,30.86,173600,0
20150604,30.4,32.65,30.4,30.66,201100,0
20150605,30.35,32.15,30.35,30.85,139800,0
20150608,30.69,31.98,30.03,31.51,242500,0
20150609,32,32.2,30.56,31.98,151688,0
20150610,31.66,32.08,30.71,31.49,181587,0
20150611,31.89,34.1,31.24,33.16,268584,0
20150612,33.55,34.8,33.02,34.12,226900,0
20150615,33.78,35.6,33.4,33.65,428400,0
20150616,33.19,34.22,33.19,34.04,150300,0
20150617,33.51,35.46,33.51,34.97,330300,0
20150618,35.24,37.17,35.24,35.92,237000,0
20150619,36.49,36.99,33,33.2,642600,0
20150622,34.5,34.74,32.31,33.13,548000,0
20150623,32.95,33.72,30.51,31.23,565736,0
20150624,32.22,32.22,28,28.02,512100,0
20150625,28.44,29,26.15,28.15,402600,0
20150626,27.96,29.24,26.59,27.86,1672200,0
20150629,27.63,27.82,26,26.2,226400,0
20150630,26.83,27.11,25.52,26.49,129084,0
20150701,26.79,27.82,26.38,27.4,239600,0
20150702,27.3,27.32,26.62,27.02,81000,0
20150706,26.78,27.37,25.77,26.31,97000,0
20150707,25.85,26.23,25.52,26.12,78100,0
20150708,25.72,25.91,24.79,25.7,94900,0
20150709,26.07,26.39,25.33,25.86,101700,0
20150710,26.74,28.21,25.7,28.02,202900,0
20150713,29.13,29.49,27.02,29,207800,0
20150714,29.16,31.94,28.56,31.14,224763,0
20150715,31.03,32.175,30.54,31.13,168725,0
20150716,31.29,32.74,30.19,32.23,142700,0
20150717,32.28,33.1,32.28,32.9,81800,0
20150720,32.67,32.71,30.36,31.71,141000,0
20150721,31.79,31.86,29.5,30.8,98000,0
20150722,30.57,31.09,29.9,30.12,49600,0
20150723,30.33,30.33,28.66,29.13,55000,0
20150724,28.94,29.15,27.29,27.5,84000,0
20150727,27.3,27.3,26.46,27.1,71200,0
20150728,27.02,29.03,26.55,28.49,62500,0
20150729,28.61,29.5,27.18,27.5,40400,0
20150730,27.28,29.24,26.41,26.54,43300,0
20150731,26.74,27.74,26.74,27.02,64700,0
20150803,27,28.13,26.72,27.64,66326,0
20150804,27.68,28.58,27.41,28.43,35300,0
20150805,28.57,29.2,27.98,28.26,45600,0
20150806,28.42,28.42,27,27.59,55170,0
20150807,27.35,27.8,26.09,26.48,71000,0
20150810,26.75,27.87,26.35,26.98,61400,0
20150811,26.39,27.51,26.39,27.15,46334,0
20150812,26.75,28.5,26.17,28.2,112300,0
20150813,28.06,28.74,27.13,27.74,92000,0
20150814,27.7,28.15,26.26,26.55,143700,0
20150817,26.7,29.8,25.89,29.75,280900,0
20150818,30.61,31.48,28.33,28.62,202800,0
20150819,28.62,28.62,26.85,27.02,76300,0
20150820,26.68,27.39,25.78,25.81,118400,0
20150821,25.43,27.13,25.21,25.74,62200,0
20150824,23.79,26.235,19.96,26.1,272708,0
20150825,26.07,28.13,26.05,26.61,115300,0
20150826,27.26,27.26,25.18,25.93,222700,0
20150827,26.18,27.45,25.78,26.87,124300,0
20150828,26.87,27.32,25.83,26.84,153700,0
20150831,26.78,27.81,26.36,27.36,67700,0
20150901,26.96,28.1,26.29,27.53,128300,0
20150902,27.95,28.4,27,28.39,109000,0
20150903,28.5,28.75,27.5,28.01,114200,0
20150904,27.57,28.48,27.2,28.24,82300,0
20150908,28.78,29.98,28.42,29.86,83900,0
20150909,30,30.73,28.95,29.19,128600,0
20150910,29.23,30.94,29.23,30.07,125318,0
20150911,30.05,31.55,28.95,29.51,128900,0
20150914,29.65,31.48,29.65,30.99,97100,0
20150915,31.13,31.2,30.19,30.64,114900,0
20150916,30.75,30.98,28.8,29.14,119100,0
20150917,29.21,30.15,28.56,29.61,69800,0
20150918,29.12,31.46,29.12,31.23,118100,0
20150921,31.52,31.94,29.36,29.49,203000,0
20150922,28.8,29.33,24.76,25.13,521900,0
20150923,25.29,25.37,23.71,24.45,346500,0
20150924,24.17,24.17,22.915,23.44,103962,0
20150925,23.77,25.78,20.85,21.45,203600,0
20150928,21.25,21.3,19.39,21.22,461631,0
20150929,21.15,22.18,20.03,20.72,274700,0
20150930,21.27,21.7,19.52,21.34,269000,0
20151001,21.25,23.56,19.98,20.76,274600,0
20151002,20.46,22.47,19.74,22.33,128200,0
20151005,22.63,22.77,21.36,22.33,134985,0
20151006,22.13,22.5,20.14,21.22,125000,0
20151007,21.22,21.45,20.36,21.14,262100,0
20151008,21.13,21.35,20,21.12,101300,0
20151009,21.21,21.69,20.49,21.14,90700,0
20151012,21.27,23.215,21.09,21.29,109313,0
20151013,21.24,21.9,21.06,21.17,103400,0
20151014,21.32,22.66,21,21.51,124000,0
20151015,21.47,24.38,21.36,23.6,179100,0
20151016,23.67,24.14,21.83,22.14,133900,0
20151019,22.24,24.09,22.05,22.79,127900,0
20151020,22.88,23.5,21.962,22.56,92207,0
20151021,22.79,22.88,21.72,21.97,132100,0
20151022,22.04,23.2,21.6,22.81,120200,0
20151023,23.04,23.68,22.08,22.11,88400,0
20151026,22.14,23.43,21.76,22.82,97900,0
20151027,22.45,22.5,19.65,20.5,623600,0
20151028,20.54,21.91,20.01,21.49,172500,0
20151029,21.49,22.78,20.2,20.55,313400,0
20151030,20.59,20.87,19.36,20.09,142800,0
20151102,20.16,21.54,20.08,20.8,220429,0
20151103,20.8,21.95,20.18,21.58,237600,0
20151104,21.57,22.24,21.22,21.97,100882,0
20151105,21.95,22.13,20.82,21.85,106400,0
20151106,21.77,22.5,21.07,22.32,97700,0
20151109,22.19,23.17,22.02,22.82,158790,0
20151110,23,23,21.34,22.64,149700,0
20151111,22.56,22.66,20.78,21.21,343900,0
20151112,21,22.15,20.51,21.41,183500,0
20151113,21.36,22.76,20.98,22.06,98800,0
20151116,21.5,22.06,20,20.85,351600,0
20151117,21,21.23,19.21,19.62,410100,0
20151118,19.5,20.18,19.13,19.77,509200,0
20151119,19.87,20.08,19.13,19.9,631200,0
20151120,20.03,20.61,19.85,20.01,305300,0
20151123,19.89,20.54,19.08,20.19,164200,0
20151124,20.02,20.58,19.63,20.55,442600,0
20151125,20.52,21.74,20.31,21.56,702500,0
20151127,21.53,22.19,21.09,22.14,174700,0
20151130,22.17,23.28,22.08,23.16,357200,0
20151201,23,23.84,22.81,23.5,374072,0
20151202,23.49,24.165,23.32,23.98,295875,0
20151203,23.94,24.2,23.14,23.76,339234,0
20151204,23.7,23.99,23.09,23.74,257800,0
20151207,23.8,23.93,22.88,23.81,408900,0
20151208,23.53,24.8,23.25,24.47,107025,0
20151209,24.48,24.54,22.46,22.93,196800,0
20151210,22.95,23.65,22.83,23.54,142500,0
20151211,23.21,23.8,22.96,23.5,225200,0
20151214,23.22,24.3,23.22,24,441334,0
20151215,23.76,25,23.76,24.3,314300,0
20151216,24.56,25.09,24.29,25.04,184600,0
20151217,24.98,25.78,24.64,25.07,141800,0
20151218,25.17,27,24.89,25.03,1082800,0
20151221,25.22,25.33,23.19,24.88,103000,0
20151222,24.96,25.22,24.32,25.07,174212,0
20151223,25.18,25.58,24.75,25.51,115200,0
20151224,25.47,25.89,24.72,24.84,64570,0
20151228,24.77,25,23.73,24.07,113215,0
20151229,24.19,24.97,23.75,24.9,111163,0
20151230,24.85,25.2,24.401,24.89,37206,0
20151231,24.85,26.59,24.66,26.34,117038,0
20160104,25.99,25.99,24.02,24.46,297461,0
20160105,24.47,24.47,22.76,22.9,152865,0
20160106,22.67,23.11,20.99,21.5,158606,0
20160107,21.28,21.96,20.66,20.73,259377,0
20160108,20.9,21.21,19.4,19.95,355494,0
20160111,20.15,20.15,18.15,18.63,496028,0
20160112,18.89,19.17,18.25,19.1,159412,0
20160113,19.23,19.85,17.52,17.75,186396,0
20160114,17.92,18.66,16.93,18.22,172723,0
20160115,17.68,17.86,16.38,17.68,228639,0
20160119,17.94,18.15,16.8,17.24,114500,0
20160120,16.83,17.36,16.05,17.01,307443,0
20160121,17,17.69,16.27,17.05,95825,0
20160122,17.42,17.8,16.81,17.67,75012,0
20160125,17.5,18.54,17.37,18.01,74693,0
20160126,18.12,18.23,16.79,18.17,91273,0
20160127,18.16,18.33,16.34,16.7,103286,0
20160128,16.81,17.06,15.41,15.51,226036,0
20160129,15.48,16.39,15.29,15.72,310751,0
20160201,15.68,16.34,15.44,16.28,377526,0
20160202,16.12,16.72,16.11,16.52,147692,0
20160203,16.57,16.71,14.43,15.01,273633,0
20160204,14.99,15.88,14.7525,15.25,146374,0
20160205,15.23,16.81,14.81,14.9,98123,0
20160208,14.74,14.886,13.04,13.34,104446,0
20160209,13.22,14.44,13.1,13.56,64683,0
20160210,13.73,14.42,13.39,14,107110,0
20160211,13.68,15.31,13.26,14.84,81998,0
20160212,14.99,16.4,14.43,16.26,117590,0
20160216,16.42,17.08,15.71,16.82,109699,0
20160217,16.9,18.25,16.05,17.77,89171,0
20160218,17.87,18.46,16.61,17,136392,0
20160219,17,17.755,16.43,17.39,84765,0
20160222,17.35,18.09,16.8676,18,97584,0
20160223,17.84,18.19,17.17,17.27,178714,0
20160224,17.07,17.5,16.49,16.96,222344,0
20160225,17.13,17.13,16.09,16.86,52101,0
20160226,16.89,18.31,16.715,17.92,69224,0
20160229,18.01,18.0599,17.14,17.33,83062,0
20160301,17.4,19.64,17.11,19.11,187966,0
20160302,19.09,19.98,17.375,19.29,71562,0
20160303,19.21,19.22,17.325,18.19,100816,0
20160304,18.09,18.435,17.24,17.65,87957,0
20160307,17.47,19.46,16.79,18.87,155527,0
20160308,18.77,18.77,16.5,16.51,99563,0
20160309,16.55,17.67,15.12,17.58,180617,0
20160310,17.77,18.28,16.26,17,190864,0
20160311,17.09,17.31,15.69,17,170045,0
20160314,17.01,18.305,16.53,17.79,321157,0
20160315,20,20,15.8,17.03,308159,0
20160316,17.05,17.41,16.49,17,182510,0
20160317,16.99,17.16,15.84,15.95,215818,0
20160318,16.08,17.04,15.38,17.03,353270,0
20160321,16.97,17.5,16.62,16.71,94070,0
20160322,16.68,17.23,16.39,16.91,100461,0
20160323,16.86,17.1099,16.14,16.58,97247,0
20160324,16.39,17.15,16.25,16.44,90491,0
20160328,16.54,16.54,15.8645,16.18,38651,0
20160329,16.18,17.1,15.76,16.96,292291,0
20160330,17.09,17.87,16.97,17.3,103304,0
20160331,17.53,18.75,17.3678,18.05,141006,0
20160401,17.95,18.32,17.56,18.3,166130,0
20160404,18.3,19.43,18.28,18.5,114603,0
20160405,18.46,19.52,18.46,19.28,53481,0
20160406,19.43,21.23,19.43,21.11,141734,0
20160407,21.06,22.25,20.46,21.06,168118,0
20160408,21.39,22.25,20.7,20.9,89758,0
20160411,20.9,20.9,20.04,20.16,49534,0
20160412,19.97,20.11,19.55,19.99,59436,0
20160413,20,20.07,19.5201,20,88502,0
20160414,19.4,19.6,18.16,19.08,122219,0
20160415,19.21,19.7,18.84,18.98,116133,0
20160418,19.01,19.7,19,19.4,90720,0
20160419,19.55,19.55,17.83,18.28,106108,0
20160420,18.47,19.5,18.06,18.13,40049,0
20160421,18.16,19.48,17.9,18.36,51985,0
20160422,18.53,18.92,18.11,18.77,57465,0
20160425,18.89,18.9,17.545,18.04,97853,0
20160426,18.08,19.48,17.13,17.31,86575,0
20160427,17.26,18.01,15.77,15.89,247828,0
20160428,15.75,15.97,14.95,15.06,190932,0
20160429,14.96,15.82,14.51,15.16,324682,0
20160502,15.3,15.94,14.55,15.84,76271,0
20160503,15.62,15.7,15.06,15.1,41660,0
20160504,15.01,15.295,14.63,14.74,153689,0
20160505,14.63,14.88,13.78,13.9225,132097,0
20160506,13.78,14.16,13.27,13.65,67559,0
20160509,13.74,15.95,13.28,15.45,383587,0
20160510,15.5,16.88,14.64,15.36,97578,0
20160511,15.5,15.71,14.92,15.24,128428,0
20160512,15.4,15.5,14.04,14.72,172640,0
20160513,14.64,15.5,14.6,15.31,114125,0
20160516,15.43,16.1,15.14,15.99,171219,0
20160517,15.87,16.58,15.45,16.45,216249,0
20160518,16.31,16.99,16.04,16.67,177559,0
20160519,16.4,17.42,16.325,17.3,155227,0
20160520,17.47,18.2999,17.23,18.02,97567,0
20160523,17.99,18.77,17.71,17.91,85335,0
20160524,17.91,18.5,17.345,18.23,141236,0
20160525,18.46,18.54,17.88,18.13,135209,0
20160526,18.23,18.36,16.8,18.09,78397,0
20160527,18.41,19.2492,17.635,18.59,79779,0
20160531,18.3,19.1,18.17,18.99,114663,0
20160601,18.76,19.2,18.74,19.03,96084,0
20160602,18.79,19.79,18.79,19.65,122882,0
20160603,19.42,20.84,18.95,20.35,428576,0
20160606,20.54,21.7,19.8,21.53,175400,0
20160607,21.35,22.48,20.961,22.04,117328,0
20160608,22.14,22.155,20.56,20.61,143117,0
20160609,20.5,21.1,20,20.52,136158,0
20160610,20.24,20.49,19.48,19.65,175619,0
20160613,19.48,20.04,19.1,19.3,188312,0
20160614,19.23,19.64,18.45,18.95,128288,0
20160615,19.08,19.47,18.46,18.71,129010,0
20160616,18.6,19.48,18.08,19.09,132414,0
20160617,19.1,19.1,18.08,18.19,139888,0
20160620,18.23,19.4,18.14,18.97,127904,0
20160621,19.11,19.15,18.27,18.66,157201,0
20160622,18.86,19.29,17.82,18.72,155976,0
20160623,18.97,19.56,18.575,19.53,73244,0
20160624,18.57,19.21,18.29,18.98,185893,0
20160627,18.69,18.83,17.35,17.56,197447,0
20160628,17.82,18.51,17.79,18.25,123627,0
20160629,18.55,19.29,18.21,19.06,129133,0
20160630,19.09,20.33,18.8849,20.25,128029,0
20160701,20.15,20.72,20,20.29,101820,0
20160705,20.01,20.25,19.54,19.72,267427,0
20160706,19.57,20.61,19.51,20.07,198655,0
20160707,20.21,20.62,19.93,20.42,191042,0
20160708,20.3,21.33,20.18,21.28,95695,0
20160711,21.33,21.6,20.88,21.09,56646,0
20160712,21.27,22,20.87,21.36,295440,0
20160713,21.52,21.64,20.19,20.22,63199,0
20160714,20.48,20.99,19.92,20.13,94961,0
20160715,20.31,20.76,20.031,20.65,62031,0
20160718,20.35,20.85,20.35,20.66,53002,0
20160719,20.6,20.8,19.8,20.05,83124,0
20160720,20.19,21.26,19.89,20.95,59303,0
20160721,21.12,21.68,21,21.39,64531,0
20160722,21.47,22.11,21.1,21.45,46352,0
20160725,21.49,21.97,21.06,21.73,140818,0
20160726,21.66,22.078,21.3,21.47,61018,0
20160727,21.58,21.91,21.2,21.75,52624,0
20160728,21.46,22.06,21.11,21.54,39899,0
20160729,21.49,22.27,20.97,22.12,108666,0
20160801,22.01,23.21,21.8,22.11,138673,0
20160802,22.05,22.43,20.62,20.89,100605,0
20160803,20.86,21.85,20.69,21.78,322534,0
20160804,21.87,22.37,21.35,21.95,60285,0
20160805,22.38,23.2,21.97,23.03,126558,0
20160808,23.06,23.41,22.15,23.01,119625,0
20160809,22.5,24.14,22.27,23.76,135412,0
20160810,23.99,23.99,22.398,23.57,168238,0
20160811,23.8,24.36,23.1322,24.08,133320,0
20160812,23.89,25.26,23.89,24.66,263830,0
20160815,24.85,25.26,24.62,25.01,168378,0
20160816,24.99,27.18,24.85,26.25,278988,0
20160817,26.28,26.905,23.7083,26.45,266478,0
20160818,26.57,26.72,26.2944,26.6,164493,0
20160819,26.56,27.5,26.15,27.11,128637,0
20160822,27.04,28.12,25.5293,28.06,110302,0
20160823,28.46,28.47,27.63,27.95,143849,0
20160824,27.95,28.5,26.97,27.21,214167,0
20160825,27.23,28.02,26.451,27.15,137533,0
20160826,27.35,28.23,27.13,27.96,125445,0
20160829,28.13,28.24,27.62,28.04,112047,0
20160830,28.09,28.49,28.08,28.34,143932,0
20160831,28.34,28.43,27.51,27.88,186544,0
20160901,27.81,28.28,27.51,27.65,127356,0
20160902,27.98,28.36,27.05,27.28,87983,0
20160906,27.39,28.415,27.39,28.2,154776,0
20160907,28.3,29.24,27.46,28.23,257608,0
20160908,28.07,28.37,27.83,28.04,177065,0
20160909,27.67,28.11,27.2,27.2,134750,0
20160912,26.92,27.11,26.27,26.63,289423,0
20160913,26.37,26.73,25.422,25.585,216239,0
20160914,25.67,27.7299,25.67,27.29,266611,0
20160915,27.29,28.27,27.26,28,185630,0
20160916,28.09,28.45,27.77,28.08,538452,0
20160919,28.13,29.36,28.08,28.97,103777,0
20160920,29.33,29.9,28.84,29.27,126022,0
20160921,29.36,29.79,28.74,29.17,256497,0
20160922,29.55,29.75,28.81,29.11,140390,0
20160923,29.27,29.345,28.54,28.6,114732,0
20160926,28.47,28.92,27.29,27.37,328541,0
20160927,27.25,28.28,27.05,27.72,134598,0
20160928,27.7,28.61,27.59,28.51,253833,0
20160929,28.55,29.425,27.69,28.11,228147,0
20160930,28.25,29.82,27.8164,29.7,127383,0
20161003,29.45,29.47,28.28,28.36,115561,0
20161004,28.36,28.75,27.83,27.86,60974,0
20161005,28.04,28.63,28.04,28.2,52225,0
20161006,28,28.12,26.42,26.78,255430,0
20161007,26.78,28.04,26.78,27.74,113595,0
20161010,27.58,28.84,27.58,28.56,76084,0
20161011,28.3,28.38,27.47,27.87,57521,0
20161012,27.91,28.43,27.59,28.03,134403,0
20161013,28,30.48,27.67,30.35,518040,0
20161014,30.59,30.9,29.67,29.75,247349,0
20161017,29.77,30.05,28.2,28.9,343691,0
20161018,28.85,30.07,28.39,30,355529,0
20161019,29.99,30.49,28.62,29.49,293767,0
20161020,29.5,31.49,29.33,31.46,187116,0
20161021,31.2,31.99,30.89,31.03,352739,0
20161024,31.2,31.89,30.5,31.7,229553,0
20161025,31.8,32.82,31.17,32.68,520004,0
20161026,32.68,33.38,32.47,32.61,276961,0
20161027,32.65,34.47,31.24,31.32,286198,0
20161028,31.48,31.48,30.4,30.64,234832,0
20161031,30.62,31.215,29.83,29.98,232936,0
20161101,30,30.455,29.375,29.88,169739,0
20161102,29.87,30.28,28.5,28.54,152602,0
20161103,28.72,28.91,27.73,28.02,250423,0
20161104,28.16,30.24,28.13,29.75,211055,0
20161107,30.46,30.46,29.65,29.95,274567,0
20161108,29.71,30.28,29.07,29.55,291013,0
20161109,30.66,32.765,29.67,31.65,396043,0
20161110,31.65,34.02,31.07,33.19,514842,0
20161111,34.57,35.2,33.19,34.77,415086,0
20161114,35,35.96,34.56,35,360954,0
20161115,34.9,35.57,34.35,34.97,433904,0
20161116,34.75,35.87,34.75,35.15,110514,0
20161117,35.28,37.01,35.02,36,208436,0
20161118,36.18,36.47,34.78,36.34,117680,0
20161121,36.31,37.11,35.5,37.11,446046,0
20161122,37.26,37.9999,35.7,36.43,86825,0
20161123,35.97,38.24,34.79,38.06,125119,0
20161125,38.33,38.33,37.03,37.47,110295,0
20161128,37.25,37.25,35.42,35.5,90026,0
20161129,35.49,35.49,30.15,30.34,446508,0
20161130,30.07,30.31,29.31,29.37,311889,0
20161201,30.21,30.2147,27.21,28,700725,0
20161202,28.03,28.349,26.84,27.01,373399,0
20161205,27.5,29.105,27.5,28.65,397381,0
20161206,28.71,28.84,27.68,28.43,341131,0
20161207,27.25,27.39,25.08,26.2,752422,0
20161208,25.93,28.59,25.91,27.66,2057407,0
20161209,27.76,28.51,26.72,26.98,269437,0
20161212,26.86,27.72,25.67,25.88,279098,0
20161213,26.01,26.41,25.39,25.58,149521,0
20161214,25.82,26.4142,25.58,26.18,360782,0
20161215,26.12,27.04,25.34,27.03,364862,0
20161216,26.99,29.02,26.62,28.43,889212,0
20161219,28.62,30,27.94,28.19,474489,0
20161220,28.2,29.35,27.95,28.83,278580,0
20161221,28.94,29.38,28.08,28.38,242830,0
20161222,28.4,28.54,26.75,26.91,164151,0
20161223,26.89,28.7,26.38,28.15,290346,0
20161227,28.17,29.05,27.6,28.06,168666,0
20161228,28.07,28.385,27.22,27.97,216051,0
20161229,28.14,28.29,27.26,27.84,245186,0
20161230,27.89,28.9,27.71,28.05,242666,0
20170103,28.33,29.13,27.83,28.95,439308,0
20170104,29.04,29.92,28.54,29.83,248723,0
20170105,29.88,31,29.5,30.65,294746,0
20170106,30.65,31.42,30.32,31.11,178192,0
20170109,31.37,32.43,30.51,32.06,290910,0
20170110,32.22,32.46,31.72,32.46,300008,0
20170111,32.31,33.0732,31.36,32.34,363966,0
20170112,32.01,32.47,30.98,32.3,264745,0
20170113,32.5,34.5,32.21,32.51,233531,0
20170117,32.5,32.78,31.3739,31.69,345864,0
20170118,31.52,32.64,31.35,32.61,628761,0
20170119,32.03,32.95,31.78,32.6,264111,0
20170120,32.54,33,31.81,32.31,240781,0
20170123,31.99,32.53,31.56,32.14,139311,0
20170124,32.17,32.95,31.375,32.82,259467,0
20170125,33.01,34.09,32.31,33.91,153048,0
20170126,33.95,34.65,33.58,34.11,236445,0
20170127,34.04,34.89,34.04,34.64,205011,0
20170130,34.44,34.44,32.61,33.21,315742,0
20170131,33,34.54,32.55,34.08,371807,0
20170201,34.295,35.1,33.83,34.96,348564,0
20170202,34.88,35.57,34.3153,35.05,386036,0
20170203,35.45,35.86,34.601,35.78,306395,0
20170206,35.74,36.25,35.355,35.84,168367,0
20170207,35.87,36.1,35.11,35.89,1391347,0
20170208,35.86,36.33,35.55,35.85,266768,0
20170209,35.88,36.33,35.36,35.44,166244,0
20170210,35.47,35.72,35,35.17,188983,0
20170213,35.39,35.58,33.71,34.31,232050,0
20170214,34.13,34.96,34.03,34.33,149873,0
20170215,34.92,37.55,34.8952,35.87,334288,0
20170216,35.94,36.28,34.67,36.05,178369,0
20170217,36.05,36.745,35.25,35.51,178715,0
20170221,35.48,35.525,33.45,33.85,441072,0
20170222,33.84,34.3175,33.12,33.3,236362,0
20170223,33.27,34.4,32.8,34.38,328904,0
20170224,33.79,34.82,33.52,34.64,186689,0
20170227,34.61,36.78,34.61,36.51,364892,0
20170228,35.97,36.085,34.6,35.18,448798,0
20170301,35.79,35.95,34.81,34.98,434171,0
20170302,34.89,35.49,34.569,35.11,269774,0
20170303,35.14,35.61,34.49,35.12,661938,0
20170306,34.91,35.92,34.38,35.19,169480,0
20170307,34.87,35.25,34.05,34.26,150008,0
20170308,34.42,35.14,33.86,34.79,203968,0
20170309,35.13,37.51,35.13,36.22,880543,0
20170310,37.16,39.78,36.25,39.32,749965,0
20170313,41.1,41.6,40.24,41.34,1039833,0
20170314,41.23,41.23,39.6801,40,564061,0
20170315,40.22,42.42,39.87,42,463716,0
20170316,42,42.18,40.34,40.74,358040,0
20170317,40.31,41.7146,39.29,41.36,475847,0
20170320,41.35,41.54,40.39,41.41,283990,0
20170321,41.45,41.78,40.28,40.88,347477,0
20170322,41.07,41.67,40.4,41.04,370277,0
20170323,41.22,41.559,40.44,41.01,274139,0
20170324,41.16,44.11,41.16,43.99,261312,0
20170327,43.17,44.3199,42.291,44.01,296591,0
20170328,44.25,44.54,41.59,42.31,255481,0
20170329,41.3,41.37,39.72,41.24,604893,0
20170330,41.75,42.09,39,39.62,4227374,0
20170331,39.99,40.95,39.51,39.99,1112128,0
20170403,40.07,41.27,40.07,40.14,681026,0
20170404,40.19,41.99,39.95,41.98,854726,0
20170405,42.1,43.5,42,42.61,566750,0
20170406,42.65,44.725,42.57,44.56,519009,0
20170407,44.61,46.2,44.4053,44.76,936019,0
20170410,44.62,45.8,44.18,44.34,253070,0
20170411,44.25,44.74,42.14,42.66,622166,0
20170412,42.61,43.28,42.4501,42.78,285607,0
20170413,42.67,45.75,42.44,45.59,450995,0
20170417,45.46,46.09,44.67,46.08,134643,0
20170418,45.71,46.01,42.82,45.51,167344,0
20170419,45.78,47.1072,45.01,46.76,295463,0
20170420,46.93,47.4,45.73,46,253267,0
20170421,46,46.5,45.06,45.12,261871,0
20170424,45.52,46.98,45.52,46.49,439552,0
20170425,46.81,47.17,46.33,46.4,344478,0
20170426,46.32,47.085,45.53,46.74,211622,0
20170427,46.76,47.25,45.72,46,380977,0
20170428,46.29,47.26,46.03,46.58,578881,0
20170501,46.81,48.85,46.81,48.49,368324,0
20170502,48.49,48.63,46.79,47.04,344585,0
20170503,47,47,43.26,43.81,515956,0
20170504,44.16,44.77,41.43,41.57,474498,0
20170505,41.45,41.45,39.67,40.53,547437,0
20170508,40.5,41.3,40.32,40.95,293181,0
20170509,41.06,41.66,40.465,40.66,284846,0
20170510,40.64,40.99,40.05,40.56,353522,0
20170511,40.4,41.033,40.27,40.72,216006,0
20170512,40.67,41.04,40.5,40.58,103856,0
20170515,40.9,41.5,40.62,40.91,152561,0
20170516,40.87,41.35,40.44,41.32,236559,0
20170517,40.84,40.98,38.55,38.68,374945,0
20170518,38.54,40.862,38.38,40.54,336250,0
20170519,40.3,41.17,39.5,39.61,159433,0
20170522,39.5,40.01,38.45,39.9,203263,0
20170523,40,40.18,37.76,39,292675,0
20170524,38.4,39,38.12,38.73,409622,0
20170525,38.95,38.98,38.21,38.38,615962,0
20170526,38.28,38.6,36.31,36.43,259461,0
20170530,36.4,36.4,35.22,35.35,308441,0
20170531,35.4,36.265,34.38,35.88,304428,0
20170601,35.76,38.45,34.83,38.22,389850,0
20170602,38.45,39.96,38.17,39.86,439963,0
20170605,39.75,39.9535,35.19,36.95,1030198,0
20170606,37.36,37.6675,36.8,37.6,602775,0
20170607,37.6,37.81,36.9,37.63,420688,0
20170608,37.57,37.63,36.1,36.7,338706,0
20170609,36.75,37.29,35,35.41,497884,0
20170612,35.56,36.77,34.665,35.98,414032,0
20170613,36.01,37.57,35.5,37.03,626833,0
